GCID,Category Name
ayam_penyet_restaurant,Ayam penyet restaurant
ayurvedic_clinic,Ayurvedische kliniek
baby_clothing_store,Babykledingwinkel
baby_store,Babywinkel
baby_swimming_school,Zwemschool voor baby's
babysitter,Kinderoppas
baden_restaurant,Badens restaurant
badminton_club,Badmintonclub
badminton_complex,Badmintoncomplex
badminton_court,Badmintonveld
bag_shop,Tassenwinkel
bagel_shop,Bagelwinkel
bahai_house_of_worship,Bahá'í Huis van Aanbidding
bail_bonds_service,Borgstellingsservice
bait_shop,Winkel voor visaas en hengelsportartikelen
bakery,Bakkerij
bakery_equipment,Bakkersbenodigdheden
baking_supply_store,Winkel voor bakkerijbenodigdheden
bakso_restaurant,Bakso-restaurant
balinese_restaurant,Balinees restaurant
ballet_school,Balletschool
ballet_theater,Ballettheater
balloon_artist,Ballonartiest
balloon_ride_tour_agency,Organisator van ballonvaarten
balloon_store,Ballonwinkel
ballroom_dance_instructor,Stijldansinstructeur
bangladeshi_restaurant,Bengaals restaurant
bangle_shop,Bangle winkel
bank,Bank
bankruptcy_attorney,Faillissementsadvocaat
bankruptcy_service,Faillissementsservice
banner_store,Spandoekenwinkel
banquet_hall,Eetzaal
baptist_church,Baptistengemeente
bar,Bar
bar_and_grill,Bar & Grill
bar_pmu,PMU-bar
bar_restaurant_furniture_store,Winkel voor bar-/restaurantmeubilair
bar_tabac,Bar met tabaksverkoop
barbecue_restaurant,Barbecuerestaurant
barbecue_spots,Barbecueplaats
barber_school,Kappersschool
barber_shop,Barbier
barber_supply_store,Winkel voor kappersbenodigdheden
bariatric_surgeon,Bariatrisch chirurg
bark_supplier,Schorsleverancier
barrel_supplier,Vatenleverancier
barrister,Jurist
bartending_school,Bartenderschool
baseball_club,Honkbalclub
baseball_field,Honkbalveld
baseball_goods_store,Winkel voor honkbalartikelen
basilica,Basiliek
basket_supplier,Mandenleverancier
basketball_club,Basketbalvereniging
basketball_court,Basketbalveld
basketball_court_contractor,Aannemer voor basketbalvelden
basque_restaurant,Baskisch restaurant
batak_restaurant,Batak-restaurant
bathroom_remodeler,Badkamerinstallateur
bathroom_supply_store,Sanitairwinkel
batik_clothing_store,Batik kledingwinkel
battery_manufacturer,Batterijenfabrikant
battery_store,Batterijenwinkel
battery_wholesaler,Groothandel in batterijen
batting_cage_center,Oefenlocatie voor honkbal
bavarian_restaurant,Beiers restaurant
bazar,Bazaar
bbq_area,Barbecueplek
beach_cleaning_service,Strandschoonmaakbedrijf
beach_clothing_store,Strandkledingwinkel
beach_club,Strandclub
beach_entertainment_shop,Winkel voor strandamusement
beach_pavillion,Strandpaviljoen
beach_volleyball_club,Beachvolleybalclub
beach_volleyball_court,Strandvolleybalveld
bead_store,Kralenwinkel
bead_wholesaler,Groothandel in kralen
bearing_supplier,Leverancier van lagers
beautician,Schoonheidsspecialist
beauty_product_supplier,Leverancier van schoonheidsproducten
beauty_products_vending_machine,Verkoopautomaat voor cosmetische producten
beauty_products_wholesaler,Groothandel in schoonheidsproducten
beauty_salon,Schoonheidssalon
beauty_school,Opleiding tot schoonheidsspecialiste
beauty_supply_store,Cosmeticawinkel
bed_and_breakfast,Bed & Breakfast
bed_shop,Beddenwinkel
bee_relocation_service,Bijenvervoersdienst
beef_rice_bowl_restaurant,Gyudon-restaurant
beer_distributor,Biergroothandel
beer_garden,Biertuin
beer_hall,Bierzaal
beer_store,Bierwinkel
belgian_restaurant,Belgisch restaurant
belt_shop,Riemenwinkel
bentley_dealer,Bentley-dealer
berry_restaurant,Berry-restaurant
berufsfachschule,Berufsfachschule
betawi_restaurant,Betawi-restaurant
betting_agency,Wedkantoor
beverage_distributor,Drankendistributeur
bicycle_club,Fietsclub
bicycle_rack,Fietsenrek
bicycle_rental_service,Fietsverhuur
bicycle_repair_shop,Fietsenmaker
bicycle_store,Fietsenwinkel
bicycle_wholesale,Fietsengroothandel
bike_wash,Motorwasstraat
bikram_yoga_studio,Bikram yoga-studio
bilingual_school,Tweetalige school
billiards_supply_store,Winkel voor biljartbenodigdheden
bingo_hall,Bingozaal
biochemistry_lab,Biochemisch laboratorium
biofeedback_therapist,Biofeedbacktherapeut
biotechnology_company,Biotechnologiebedrijf
bird_control_service,Vogelbeheer
bird_shop,Vogelwinkel
bird_watching_area,Vogelkijkplaats
birth_center,Geboortecentrum
birth_certificate_service,Geboorteakteservice
biryani_restaurant,Biryani restaurant
bistro,Bistro
blacksmith,Smid
blast_cleaning_service,Straalbedrijf
blind_school,School voor mensen met een visuele beperking
blinds_shop,Jaloezieënwinkel
blood_bank,Bloedbank
blood_testing_service,Bloedonderzoekslaboratorium
blueprint_service,Blauwdrukken
blues_club,Bluesclub
bmw_dealer,BMW-dealer
bmw_motorcycle_dealer,BMW-motorzaak
bmx_club,BMX-club
bmx_park,BMX-park
bmx_track,BMX-baan
board_game_club,Bordspelclub
board_of_education,Onderwijsraad
boarding_house,Kosthuis
boarding_school,Kostschool
boat_accessories_supplier,Leverancier van bootaccessoires
boat_builder,Botenbouwers
boat_cleaning_service,Bootreinigingsservice
boat_club,Botenclub
boat_cover_supplier,Leverancier van bootbekleding
boat_dealer,Botenhandelaar
boat_detailing_service,Bootverzorgingsservice
boat_ramp,Trailerhelling
boat_rental_service,Botenverhuurbedrijf
boat_repair_shop,Bootreparatie
boat_storage_facility,Botenstalling
boat_tour_agency,Rondvaartbedrijf
boat_trailer_dealer,Verkoper van boottrailers
boating_instructor,Vaarinstructeur
bocce_ball_court,Bocce-baan
body_piercing_shop,Bodypiercingzaak
body_shaping_class,Lichaamscontourverbetering
boiler_manufacturer,Boilerfabrikant
boiler_supplier,Geiserleverancier
bonesetting_house,Kliniek voor botverbetering
bonsai_plant_supplier,Bonsaibomenkwekerij
book_publisher,Boekenuitgever
book_store,Boekwinkel
bookbinder,Boekbinder
bookkeeping_service,Boekhouder
books_wholesaler,Boekengroothandel
boot_camp,Bootcamp
boot_repair_shop,Laarzenreparatie
boot_store,Laarzenwinkel
border_crossing_station,Grenspost
border_guard,Douane
botanica,Botánica
botanical_garden,Botanische tuin
bottle_and_can_redemption_center,Recycling van glas en blik
bottled_water_supplier,Leverancier van flessenwater
bouncy_castle_hire,Verhuur van springkastelen
boutique,Boetiek
bowling_alley,Bowlingbaan
bowling_club,Bowlclub
bowling_supply_shop,Winkel voor bowlingbenodigdheden
box_lunch_supplier,Lunchpakkettenservice
boxing_club,Boksclub
boxing_gym,Boksschool
boxing_ring,Boksring
boys_high_school,Middelbare jongensschool
bpo_company,IT-uitbestedingspartner
bpo_placement_agency,BPO-recruitmentbureau
brake_shop,Verkoop en reparatie van autoremmen
branding_agency,Merkstrategiebureau
brazilian_pastelaria,Braziliaanse pastelaria
brazilian_restaurant,Braziliaans restaurant
breakfast_restaurant,Ontbijtrestaurant
brewery,Brouwerij
brewing_supply_store,Thuisbrouwwinkel
brewpub,Brouwerijcafé
brick_manufacturer,Baksteenfabrikant
bricklayer,Metselaar
bridal_shop,Bruidswinkel
bridge,Brug
bridge_club,Bridgeclub
british_restaurant,Brits restaurant
brunch_restaurant,Brunchrestaurant
bubble_tea_store,Bubbeltheewinkel
buddhist_supplies_store,Winkel voor boeddhistische artikelen
buddhist_temple,Boeddhistische tempel
buffet_restaurant,Buffetrestaurant
bugatti_dealer,Bugatti-dealer
buick_dealer,Buick-dealer
building_consultant,Bouwadviseur
building_designer,Gebouwontwerper
building_equipment_hire_service,Verhuurbedrijf voor bouwapparatuur
building_firm,Bouwbedrijf
building_inspector,Bouwinspecteur
building_materials_market,Bouwmaterialenmarkt
building_materials_store,Bouwmarkt
building_materials_supplier,Leverancier van bouwmaterialen
building_restoration_service,Restauratie van gebouwen
building_society,Hypotheekbank
bulgarian_restaurant,Bulgaars restaurant
bullring,Stierenarena
bungee_jumping_center,Bungeejumpcentrum
burglar_alarm_store,Inbraakalarmverkoper
burmese_restaurant,Birmees restaurant
burrito_restaurant,Burrito-restaurant
bus_charter,Busverhuurbedrijf
bus_company,Busmaatschappij
bus_depot,Busgarage
bus_ticket_agency,Verkoop van buskaartjes
bus_tour_agency,Busreisorganisatie
business_administration_service,Bedrijfskundige service
business_attorney,Ondernemingsrechtadvocaat
business_banking_service,Bankdienstverlener voor bedrijven
business_broker,Intermediair
business_center,Bedrijfscentrum
business_development_service,Bedrijfsontwikkelingsbureau
business_management_consultant,Management-consultant
business_networking_company,Bedrijf om zakelijk te netwerken
business_park,Bedrijvenpark
business_school,Bedrijfseconomische opleiding
business_to_business_service,Business to Business-service
butane_gas_supplier,Butaangasleverancier
butcher_shop,Slagerij
butcher_shop_deli,Slagersdelicatessezaak
butsudan_store,Butsudan-winkel
cabaret_club,Cabaretclub
cabin_rental_agency,Vakantiewoningverhuur
cabinet_maker,Kastenmaker
cabinet_store,Kastenwinkel
cable_company,Kabelmaatschappij
cadillac_dealer,Cadillac-dealer
cafe,Koffiehuis
cafeteria,Cafetaria
cajun_restaurant,Cajunrestaurant
cake_decorating_equipment_shop,Winkel voor taartdecoratiebenodigdheden
cake_shop,Taartenwinkel
californian_restaurant,Californisch restaurant
call_center,Callcenter
call_shop,Belwinkel
calligraphy_lesson,Kalligrafieles
calvary_chapel_church,Calvary Chapel-kerk
cambodian_restaurant,Cambodjaans restaurant
camera_repair_shop,Camerareparateur
camera_store,Camerawinkel
camp,Kinderkamp
camper_shell_supplier,Materiaalleverancier voor camperombouw
campground,Kampeerterrein
camping_cabin,Trekkershut
camping_farm,Kampeerboerderij
camping_store,Kampeerwinkel
canadian_pacific_northwest_restaurant,Pacific Northwest-restaurant (Canada)
canadian_restaurant,Canadees restaurant
cancer_treatment_center,Kankerkliniek
candle_store,Kaarsenwinkel
candy_store,Snoepwinkel
cane_furniture_store,Winkel voor rieten meubilair
cannabis_club,Cannabisclub
cannabis_store,Cannabiswinkel
cannery,Conservenfabriek
canoe_and_kayak_club,Kano- en kajakclub
canoe_and_kayak_rental_service,Verhuurbedrijf voor kano's en kajaks
canoe_and_kayak_store,Kano- en kajakwinkel
canoe_and_kayak_tour_agency,Organisator van kano-/kajaktochten
canoeing_area,Kanogebied
cantabrian_restaurant,Cantabrisch restaurant
cantonese_restaurant,Kantonees restaurant
cape_verdean_restaurant,Kaapverdisch restaurant
capoeira_school,Capoeiraschool
capsule_hotel,Capsulehotel
car_accessories_store,Winkel voor auto-accessoires
car_alarm_supplier,Leverancier van autoalarmen
car_battery_store,Auto-accuverkoper
car_dealer,Autohandel
car_detailing_service,Autoschoonmaakdienst
car_factory,Autofabriek
car_inspection_station,Autokeuring
car_leasing_service,Autoleasebedrijf
car_manufacturer,Autofabrikant
car_race_track,Autocircuit
car_rental_agency,Autoverhuur
car_repair,Autoreparatie en -onderhoud
car_security_system_installer,Installateur van autobeveiliging
car_service,Chauffeursservice
car_sharing_location,Autodeelplek
car_stereo_store,Winkel voor autostereoapparatuur
car_wash,Autowasstraat
cardiologist,Cardioloog
cardiovascular_and_thoracic_surgeon,Cardiovasculaire en thoracale chirurg
career_guidance_service,Loopbaanbegeleiding
caribbean_restaurant,Caribisch restaurant
carnival_club,Carnavalsclub
carpenter,Timmerman
carpet_cleaning_service,Tapijtreinigingsbedrijf
carpet_installer,Tapijtlegger
carpet_manufacturer,Tapijtfabrikant
carpet_store,Tapijtwinkel
carpet_wholesaler,Tapijtgroothandel
carpool,Carpoolplaats
carport_and_pergola_builder,Carport- en pergolabouwer
carriage_ride_service,Verhuurbedrijf voor rijtuigen
carvery_restaurant,Carvery
cash_and_carry_wholesaler,Groothandel voor bedrijven
casino,Casino
casino_hotel,Casinohotel
casket_service,Levarancier van lijkkisten
castilian_restaurant,Castiliaans restaurant
castle,Kasteel
casual_japanese_style_restaurant,Syokudo- en teishoku-restaurant
casual_sushi_restaurant,Sushirestaurant met lopende band
cat_boarding_service,Opvangservice voor katten
cat_breeder,Kattenfokker
cat_cafe,Kattencafé
cat_trainer,Kattentraining
catalonian_restaurant,Catalaans restaurant
catering_equipment_rental_service,Verhuurservice van cateringmaterialen
catering_food_and_drink_supplies,Cateringgroothandel in voeding en dranken
catering_service,Catering
cathedral,Kathedraal
catholic_cathedral,Katholieke kathedraal
catholic_church,Katholieke kerk
catholic_school,Katholieke school
cattery,Cattery
cattle_farm,Veeboerderij
cattle_market,Veemarkt
caucasian_restaurant,Kaukasisch restaurant
cbse_school,CBSE-school
cd_store,Cd-winkel
ceiling_supplier,Plafondleverancier
cell_phone_accessory_store,Winkel met accessoires voor mobiele telefoons
cell_phone_charging_station,Oplaadstation voor mobiele telefoons
cell_phone_store,Mobiele-telefoonwinkel
cement_manufacturer,Cementfabrikant
cement_supplier,Cementleverancier
cemetery,Begraafplaats
cendol_restaurant,Cendol restaurant
central_american_restaurant,Midden-Amerikaans restaurant
central_bank,Centrale bank
central_european_restaurant,Centraal-Europees restaurant
central_javanese_restaurant,Centraal-Javaans restaurant
ceramic_manufacturer,Keramiekfabrikant
ceramics_wholesaler,Keramiekgroothandel
certification_agency,Certificeringsbureau
certified_public_accountant,Gecertificeerd accountant
chalet,Chalet
chamber_of_commerce,Kamer van Koophandel
chamber_of_handicrafts,Kamer van ambachten
champon_noodle_restaurant,Restaurant voor champon-noedels
chankonabe_restaurant,Chanko-restaurant
chapel,Kapel
charcuterie,Charcuterie
charity,Liefdadigheidsorganisatie
charter_school,Charter School (bijzondere school)
chartered_accountant,Registeraccountant
check_cashing_service,Service voor verzilveren van cheques
cheese_manufacturer,Kaasfabrikant
cheese_shop,Kaaswinkel
cheesesteak_restaurant,Cheesesteakrestaurant
chemical_engineer,Chemisch ingenieur
chemical_exporter,Exporteur van chemicaliën
chemical_manufacturer,Chemiebedrijf
chemical_plant,Chemische fabriek
chemical_wholesaler,Chemicaliëngroothandel
chemistry_faculty,Scheikundefaculteit
chemistry_lab,Scheikundelaboratorium
chesapeake_restaurant,Chesapeake-restaurant
chess_and_card_club,Schaak- en kaartclub
chess_club,Schaakclub
chess_instructor,Schaakinstructeur
chettinad_restaurtant,Chettinadrestaurant
chevrolet_dealer,Chevrolet-dealer
chicken_restaurant,Kiprestaurant
child_care_agency,Kinderopvangbureau
child_health_care_centre,Kinderziekenhuis
child_psychiatrist,Kinderpsychiater
child_psychologist,Kinderpsycholoog
childbirth_class,Bevallingslessen
children_amusement_center,Amusementscentrum voor kinderen
children_hall,Kinderspeelzaal
childrens_book_store,Kinderboekwinkel
childrens_cafe,Kindercafé
childrens_clothing_store,Kinderkleding
childrens_club,Kinderclub
childrens_farm,Kinderboerderij
childrens_furniture_store,Kindermeubelwinkel
childrens_home,Kindertehuis
childrens_library,Kinderbibliotheek
childrens_museum,Kindermuseum
childrens_party_buffet,Feestbuffet voor kinderen
childrens_party_service,Service voor kinderfeestjes
childrens_store,Kinderwinkel
childrens_theater,Kindertheater
chilean_restaurant,Chileens restaurant
chimney_services,Luchtventilatiebedrijf
chimney_sweep,Schoorsteenveger
chinaware_store,Porseleinwinkel
chinese_language_instructor,Chinese taalschool
chinese_language_school,Taalopleiding Chinees
chinese_medicine_clinic,Kliniek voor Chinese geneeskunde
chinese_medicine_store,Winkel voor Chinese geneeskunde
chinese_noodle_restaurant,Chinees noedelrestaurant
chinese_pastry,Chinese banketbakkerij
chinese_restaurant,Chinees restaurant
chinese_supermarket,Chinese supermarkt
chinese_takeaway,Chinees afhaalrestaurant
chinese_tea_house,Chinees theehuis
chiropractor,Chiropractor
chocolate_artisan,Chocolatier
chocolate_cafe,Chocoladecafé
chocolate_factory,Chocoladefabriek
chocolate_shop,Chocolaterie
choir,Koor
chop_bar,Chop bar
chophouse_restaurant,Steak- en karbonaderestaurant
christian_book_store,Christelijke boekwinkel
christian_church,Christelijke kerk
christian_college,Christelijk college
christmas_market,Kerstmarkt
christmas_store,Kerstwinkel
christmas_tree_farm,Kerstboomkwekerij
chrysler_dealer,Chrysler-dealer
church,Kerk
church_council_office,Kerkraadkantoor
church_of_christ,Kerk van Christus
church_of_jesus_christ_of_latter_day_saints,Kerk van Jezus Christus van de Heiligen der Laatste Dagen (Mormonen)
church_of_the_nazarene,Kerk van de Nazarener
church_supply_store,Winkel voor kerkbenodigdheden
churreria,Churreria
cider_bar,Ciderbar
cider_mill,Ciderfabrikant
cig_kofte_restaurant,Cig köfterestaurant
cigar_shop,Sigarenwinkel
cinema_equipment_supplier,Leverancier van bioscoopapparatuur
circus,Circus
citizen_information_bureau,Informatiebureau voor burgers
citroen_dealer,Citroën-dealer
city_clerks_office,Gemeentesecretarie
city_courthouse,Stedelijke rechtbank
city_department_of_transportation,Stadsdepartement voor vervoer
city_district_office,Stadsdeelkantoor
city_employment_department,Stadsdepartement voor werkgelegenheid
city_government_office,Stadskantoor
city_hall,Stadhuis
city_park,Stadspark
city_pillar_shine,Heiligdom van de Pijler van de Stad
city_tax_office,Kantoor voor gemeentelijke belastingen
civic_center,Stadscentrum
civil_defence,Burgerwacht
civil_engineer,Weg- en waterbouwkundige
civil_engineering_company,Weg-en waterbouwkundig bedrijf
civil_examinations_academy,Academie voor overheidsexamens
civil_law_attorney,Privaatrechtadvocaat
civil_police,Burgerpolitie
classified_ads_newspaper_publisher,Uitgever van rubrieksadvertenties voor kranten
cleaners,Schoonmakers
cleaning_products_supplier,Leverancier van schoonmaakproducten
clergyman,Geestelijke dienst
clock_repair_service,Reparatieservice voor klokken
clock_watch_maker,Klokken- en horlogemakerij
closed_circuit_television,Gesloten televisiecircuit
clothes_and_fabric_manufacturer,Kleding- en textielfabrikant
clothes_and_fabric_wholesaler,Groothandel in kleding en stoffen
